             RC        PMF_def2SVP   Correction       CorrPMF_def2TZVP
         -0.117        1.09357      -0.086549811      1.0070202
         -0.077        1.06794      -0.065603651      1.0023363
         -0.037        1.16388      -0.044181585      1.1196984
          0.003        1.14772      -0.022306179      1.1254138
          0.043        1.12256       0.0              1.12256
          0.083        1.20688       0.022714387      1.2295944
          0.123        1.42227       0.045814416      1.4680844
          0.163        1.64169       0.069277521      1.7109675
          0.203        1.75068       0.093081136      1.8437611
          0.243        1.94254       0.1172027        2.0597427
          0.283        2.10011       0.14161964       2.2417296
          0.323        2.19777       0.16630939       2.3640794
          0.363        2.36876       0.19124939       2.5600094
          0.403        2.38684       0.21641707       2.6032571
          0.443        2.54482       0.24178986       2.7866099
          0.483        2.48831       0.26734521       2.7556552
          0.523        2.37964       0.29306053       2.6727005
          0.563        2.40041       0.31891328       2.7193233
          0.603        2.46724       0.34488088       2.8121209
          0.643        2.50785       0.37094077       2.8787908
          0.683          2.428       0.39707037       2.8250704
          0.723        2.58437       0.42324713       3.0076171
          0.763        2.52879       0.44944848       2.9782385
          0.803        2.46726       0.47565185       2.9429119
          0.843        2.56235       0.50183468       3.0641847
          0.883         2.6089       0.5279744        3.1368744
          0.923        2.72562       0.55404845       3.2796685
          0.963        2.76278       0.58003426       3.3428143
          1.003        2.71961       0.60590926       3.3255193
          1.043        2.74024       0.63165089       3.3718909
          1.083        2.71469       0.65723658       3.3719266
          1.123        2.72214       0.68264377       3.4047838
          1.163        2.84287       0.70784988       3.5507199
          1.203        2.81393       0.73283237       3.5467624
          1.243        2.82839       0.75756865       3.5859587
          1.283        2.99508       0.78203617       3.7771162
          1.323        3.11104       0.80621235       3.9172523
          1.363        3.18914       0.83007463       4.0192146
          1.403        3.2956        0.85360045       4.1492005
          1.443        3.29854       0.87676724       4.1753072
          1.483        3.25029       0.89955244       4.1498424
          1.523        3.41571       0.92193347       4.3376435
          1.563        3.53717       0.94388778       4.4810578
          1.603        3.68845       0.96539279       4.6538428
          1.643        3.88604       0.98642594       4.8724659
          1.683        3.92224       1.0069647        4.9292047
          1.723        3.98522       1.0269864        5.0122064
          1.763        4.11214       1.0464686        5.1586086
          1.803        4.28551       1.0653886        5.3508986
          1.843        4.50969       1.083724         5.593414
          1.883        4.6956        1.1014521        5.7970521
          1.923        4.77469       1.1185504        5.8932404
          1.963        5.05097       1.1349963        6.1859663
          2.003        5.22325       1.1507673        6.3740173
          2.043        5.48468       1.1658407        6.6505207
          2.083         5.7191       1.1801941        6.8992941
          2.123        5.93656       1.1938048        7.1303648
          2.163        6.19255       1.2066503        7.3992003
          2.203        6.34958       1.218708         7.568288
          2.243        6.73483       1.2299554        7.9647854
          2.283         6.9699       1.2403698        8.2102698
          2.323        7.27034       1.2499288        8.5202688
          2.363        7.59237       1.2586097        8.8509797
          2.403        7.86196       1.2663901        9.1283501
          2.443         8.2661       1.2732472        9.5393472
          2.483        8.54367       1.2791586        9.8228286
          2.523        9.01008       1.2841017       10.294182
          2.563        9.35035       1.288054        10.638404
          2.603        9.76443       1.2909927       11.055423
          2.643       10.16559       1.2928955       11.458486
          2.683       10.61396       1.2937397       11.9077
          2.723       11.19689       1.2935028       12.490393
          2.763       11.62932       1.2921622       12.921482
          2.803       12.17267       1.2896953       13.462365
          2.843       12.95583       1.2860796       14.24191
          2.883       13.49133       1.2812924       14.772622
          2.923       14.13408       1.2753114       15.409391
          2.963       15.01114       1.2681158       16.279256
          3.003       16.05015       1.2596901       17.30984
          3.043        16.9213       1.2500188       18.171319
          3.083       18.04526       1.2390869       19.284347
          3.123       19.19168       1.226879        20.418559
          3.163        20.5256       1.2133801       21.73898
          3.203       21.89359       1.1985749       23.092165
          3.243       23.53664       1.1824482       24.719088
          3.283       24.71499       1.1649848       25.879975
          3.323       25.62793       1.1461695       26.7741
          3.363       26.10478       1.1259871       27.230767
          3.403        25.9817       1.1044224       27.086122
          3.443       25.51955       1.0814601       26.60101
          3.483       25.33498       1.0570851       26.392065
          3.523       24.89698       1.0312822       25.928262
          3.563       24.35644       1.0040362       25.360476
          3.603       24.00392       0.97533186      24.979252
          3.643       23.51249       0.94515397      24.457644
          3.683        23.1033       0.91348732      24.016787
          3.723       22.40855       0.88031674      23.288867
          3.763       21.91761       0.84562699      22.763237
          3.803       21.47226       0.8094029       22.281663
          3.843       20.93127       0.77162924      21.702899
          3.883       20.41464       0.73229082      21.146931
          3.923       20.03128       0.69137243      20.722652
          3.963       19.62696       0.64885886      20.275819
          4.003       19.40037       0.60473492      20.005105
          4.043       19.00119       0.5589854       19.560175
          4.083       18.71131       0.51159509      19.222905
          4.123       18.56368       0.46254878      19.026229
          4.163       18.12409       0.41183129      18.535921
          4.203       18.06117       0.3594274       18.420597
          4.243       17.63698       0.3053219       17.942302
          4.283       17.3453        0.24949959      17.5948
          4.323       17.16476       0.19194528      17.356705
          4.363       17.07356       0.13264374      17.206204
          4.403       16.99847       0.07157979      17.07005
          4.443       16.75033       0.0087382118    16.759068
          4.483       16.35015      -0.055896195     16.294254
          4.523       16.25179      -0.12233864      16.129451
          4.563       16.15192      -0.19060431      15.961316
          4.603       15.98549      -0.26070843      15.724782
          4.643       15.80672      -0.3326662       15.474054
          4.683       15.60685      -0.40649281      15.200357
          4.723       15.50189      -0.48220348      15.019687
          4.763       15.43067      -0.55981341      14.870857
          4.803       15.21166      -0.63933781      14.572322
          4.843       15.25856      -0.72079187      14.537768
          4.883       15.06922      -0.8041908       14.265029
          4.923       15.12155      -0.88954981      14.232
          4.963       14.93985      -0.9768841       13.962966
          5.003       15.02359      -1.0662089       13.957381
          5.043       14.93938      -1.1575393       13.781841
          5.083       14.53627      -1.2508907       13.285379
          5.123       14.49607      -1.3462781       13.149792
          5.163       14.61234      -1.4437169       13.168623
          5.203       14.69597      -1.5432222       13.152748
          5.243       14.59854      -1.6448091       12.953731
          5.283       14.48126      -1.748493        12.732767
          5.323       14.41118      -1.854289        12.556891
          5.363       14.40866      -1.9622123       12.446448
          5.403       14.44589      -2.0722782       12.373612
          5.443        14.3403      -2.1845018       12.155798
          5.483       14.33367      -2.2988983       12.034772
