#       Npoints             RC            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
           4921       -0.11373        0.70994        0.64515        0.77472        0.06479
          11045       -0.07373        0.62484        0.56217        0.68751        0.06267
          18788       -0.03373        0.55686        0.49643        0.61730        0.06044
          25770        0.00627        0.47869        0.41674        0.54064        0.06195
          29677        0.04627        0.39239        0.33110        0.45367        0.06128
          30877        0.08627        0.29266        0.23477        0.35055        0.05789
          30521        0.12627        0.20360        0.14660        0.26061        0.05700
          32829        0.16627        0.08697        0.03028        0.14367        0.05670
          34744        0.20627        0.02119       -0.03482        0.07721        0.05601
          35999        0.24627        0.00000       -0.05713        0.05713        0.05713
          33732        0.28627        0.05410       -0.00288        0.11109        0.05699
          30903        0.32627        0.14066        0.08323        0.19810        0.05743
          28683        0.36627        0.23846        0.18333        0.29359        0.05513
          27551        0.40627        0.33024        0.27431        0.38617        0.05593
          27834        0.44627        0.39977        0.34538        0.45415        0.05439
          29818        0.48627        0.44364        0.38949        0.49779        0.05415
          31417        0.52627        0.50138        0.44775        0.55501        0.05363
          31564        0.56627        0.56641        0.51260        0.62023        0.05381
          30538        0.60627        0.63034        0.57661        0.68408        0.05373
          30033        0.64627        0.68093        0.62659        0.73527        0.05434
          29379        0.68627        0.75001        0.69443        0.80558        0.05558
          29549        0.72627        0.81788        0.76427        0.87148        0.05361
          30200        0.76627        0.88441        0.83051        0.93831        0.05390
          30570        0.80627        0.95811        0.90369        1.01253        0.05442
          30037        0.84627        1.04391        0.98871        1.09911        0.05520
          29546        0.88627        1.12879        1.07422        1.18335        0.05456
          29777        0.92627        1.20142        1.14805        1.25478        0.05337
          29600        0.96627        1.28351        1.22937        1.33764        0.05413
          29494        1.00627        1.36979        1.31437        1.42521        0.05542
          29696        1.04627        1.45489        1.40071        1.50906        0.05418
          29933        1.08627        1.54312        1.48861        1.59762        0.05450
          30430        1.12627        1.63038        1.57550        1.68526        0.05488
          30358        1.16627        1.74048        1.68567        1.79529        0.05481
          31498        1.20627        1.83547        1.77996        1.89097        0.05550
          31614        1.24627        1.94406        1.88827        1.99985        0.05579
          31819        1.28627        2.03839        1.98359        2.09319        0.05480
          30425        1.32627        2.15894        2.10361        2.21427        0.05533
          29126        1.36627        2.28525        2.22887        2.34162        0.05638
          29651        1.40627        2.38652        2.32853        2.44452        0.05799
          29530        1.44627        2.51425        2.45805        2.57045        0.05620
          30230        1.48627        2.62768        2.57109        2.68427        0.05659
          29406        1.52627        2.76723        2.71039        2.82408        0.05685
          29949        1.56627        2.87883        2.82053        2.93713        0.05830
          30206        1.60627        3.00091        2.94313        3.05869        0.05778
          30322        1.64627        3.13339        3.07529        3.19150        0.05810
          30246        1.68627        3.27846        3.21989        3.33703        0.05857
          29826        1.72627        3.44258        3.38460        3.50055        0.05798
          30263        1.76627        3.59680        3.53797        3.65563        0.05883
          30619        1.80627        3.75206        3.69376        3.81037        0.05830
