             RC        PMF_xtb_orig     Correction      CorrPMF_def2TZVP
       -0.30707        0.70427          -0.16788977     0.53638023
       -0.26707        0.71987          -0.12369181     0.59617819
       -0.22707         0.4733         -0.081000736     0.39229926
       -0.18707         0.5941         -0.039781741     0.55431826
       -0.14707        0.58811                  0.0        0.58811
       -0.10707        0.50945          0.038379308     0.54782931
       -0.06707        0.48737          0.075391003       0.562761
       -0.02707        0.44125           0.11106991     0.55231991
        0.01293        0.40978           0.14545084     0.55523084
        0.05293        0.33325           0.17856862     0.51181862
        0.09293        0.28894           0.21045808     0.49939808
        0.13293        0.21785           0.24115402     0.45900402
        0.17293        0.18663           0.27069128     0.45732128
        0.21293        0.10205           0.29910468     0.40115468
        0.25293        0.06026           0.32642902     0.38668902
        0.29293        0.02016           0.35269915     0.37285915
        0.33293        0.01548           0.37794987     0.39342987
        0.37293            0.0           0.40221601     0.40221601
        0.41293        0.01753           0.42553238     0.44306238
        0.45293        0.06801           0.44793382     0.51594382
        0.49293        0.09988           0.46945513     0.56933513
        0.53293        0.12435           0.49013115     0.61448115
        0.57293        0.16376           0.50999668     0.67375668
        0.61293        0.20768           0.52908656     0.73676656
        0.65293        0.24887            0.5474356      0.7963056
        0.69293        0.25774           0.56507863     0.82281863
        0.73293        0.29757           0.58205046     0.87962046
        0.77293        0.32711           0.59838592     0.92549592
        0.81293        0.37145           0.61411983     0.98556983
        0.85293         0.4189             0.629287       1.048187
        0.89293        0.46746           0.64392226      1.1113823
        0.93293        0.49388           0.65806044      1.1519404
        0.97293         0.5292           0.67173634      1.2009363
        1.01293        0.59202           0.68498479      1.2770048
        1.05293        0.65417           0.69784062      1.3520106
        1.09293        0.71217           0.71033864      1.4225086
        1.13293        0.75479           0.72251367      1.4773037
        1.17293        0.81082           0.73440054      1.5452205
        1.21293        0.84466           0.74603406      1.5906941
        1.25293        0.89523           0.75744906      1.6526791
        1.29293        0.93629           0.76868036      1.7049704
        1.33293         0.9855           0.77976277      1.7652628
        1.37293        1.06519           0.79073113      1.8559211
        1.41293        1.14513           0.80162024      1.9467502
        1.45293         1.2055           0.81246494      2.0179649
        1.49293        1.26453           0.82330004        2.08783
        1.53293        1.32117           0.83416036      2.1553304
        1.57293         1.3724           0.84508072      2.2174807
        1.61293        1.45075           0.85609595       2.306846
        1.65293        1.49889           0.86730552      2.3661955
        1.69293        1.58925           0.87904794      2.4682979
        1.73293        1.68536           0.89171697       2.577077
        1.77293        1.76382           0.90570634      2.6695263
        1.81293        1.82596           0.92140981      2.7473698
        1.85293        1.91256           0.93922113      2.8517811
        1.89293         2.0102           0.95953403       2.969734
        1.93293        2.08929           0.98274227      3.0720323
        1.97293        2.17661            1.0092396      3.1858496
        2.01293         2.2752            1.0394198      3.3146198
        2.05293        2.38248            1.0736765      3.4561565
        2.09293        2.47915            1.1124036      3.5915536
        2.13293         2.5875            1.1559947      3.7434947
        2.17293        2.70559            1.2048436      3.9104336
        2.21293         2.8376            1.2593442      4.0969442
        2.25293         2.9691              1.31989        4.28899
        2.29293        3.09102            1.3868749      4.4778949
        2.33293        3.19079            1.4606926      4.6514826
        2.37293         3.3219            1.5417369      4.8636369
        2.41293        3.48876            1.6304014      5.1191614
        2.45293         3.6022            1.7270801      5.3292801
        2.49293        3.74082            1.8321665      5.5729865
        2.53293        3.91117            1.9460544      5.8572244
        2.57293         4.0765            2.0691377      6.1456377
        2.61293        4.22377              2.20181        6.42558
        2.65293        4.40073            2.3444651      6.7451951
        2.69293        4.58885            2.4974967      7.0863467
        2.73293        4.78786            2.6612986      7.4491586
        2.77293        4.95329            2.8362645      7.7895545
        2.81293        5.12559            3.0227882      8.1483782
        2.85293         5.3403            3.2212634      8.5615634
        2.89293        5.55903            3.4320839      8.9911139
        2.93293        5.77215            3.6556434      9.4277934
        2.97293        5.98202            3.8923357      9.8743557
        3.01293        6.18151            4.1425545      10.324064
        3.05293        6.41696            4.4066935      10.823654
        3.09293        6.65769            4.6851466      11.342837
        3.13293        6.90139            4.9783074      11.879697
        3.17293        7.12968            5.2865697       12.41625
        3.21293        7.37658            5.6103272      12.986907
        3.25293        7.65804            5.9499737      13.608014
        3.29293         7.9735             6.305869      14.279369
        3.33293        8.26711            6.6767238      14.943834
        3.37293        8.59027            7.0588968      15.649167
        3.41293         8.8706            7.4485661      16.319166
        3.45293        9.12245            7.8419099       16.96436
        3.49293        9.41262            8.2351064      17.647726
        3.53293        9.73891            8.6243338      18.363244
        3.57293       10.09471            9.0057704       19.10048
        3.61293       10.47116            9.3755942      19.846754
        3.65293       10.91887            9.7299835      20.648854
        3.69293       11.34173            10.065117      21.406847
        3.73293       11.73101            10.377172      22.108182
        3.77293       12.12318            10.662327      22.785507
        3.81293       12.50113             10.91676       23.41789
        3.85293       12.77294             11.13665       23.90959
        3.89293       12.99443            11.318174      24.312604
        3.93293       13.09213            11.457512      24.549642
        3.97293       13.10585             11.55084       24.65669
        4.01293       13.06708            11.594338      24.661418
        4.05293       13.01901            11.584215      24.603225
        4.09293       12.93091            11.519345      24.450255
        4.13293       12.85724            11.403256      24.260496
        4.17293       12.79181            11.239945      24.031755
        4.21293       12.70896            11.033408      23.742368
        4.25293       12.62977             10.78764       23.41741
        4.29293       12.57345            10.506639      23.080089
        4.33293       12.51999              10.1944       22.71439
        4.37293         12.458            9.8549198       22.31292
        4.41293       12.37793            9.4921943      21.870124
        4.45293       12.28983            9.1102198       21.40005
        4.49293       12.20291            8.7129925      20.915902
        4.53293       12.12878            8.3045086      20.433289
        4.57293       12.05953            7.8887644      19.948294
        4.61293       12.00323             7.469756      19.472986
        4.65293       11.95596            7.0514797       19.00744
        4.69293       11.87324            6.6379316      18.511172
        4.73293       11.78412            6.2331081      18.017228
        4.77293       11.71998            5.8410053      17.560985
        4.81293       11.64767            5.4656194      17.113289
        4.85293         11.579            5.1109172      16.689917
        4.89293       11.54207            4.7790822      16.321152
        4.93293       11.46564            4.4695217      15.935162
        4.97293       11.42237            4.1814028      15.603773
        5.01293       11.38362            3.9138926      15.297513
        5.05293       11.32365            3.6661585      14.989808
        5.09293       11.29441            3.4373674      14.731777
