             RC        PMF_def2SVP    Correction     CorrPMF_def2TZVP
       -0.20015       -0.69901        -0.60738164    -1.3063916
       -0.16015        -0.5754        -0.44850632    -1.0239063
       -0.12015       -0.67755        -0.29433559    -0.97188559
       -0.08015       -0.46948        -0.14484248    -0.61432248
       -0.04015       -0.37842                0.0    -0.37842
       -0.00015       -0.19034         0.14021884    -0.050121159
        0.03985       -0.09968         0.27584103     0.17616103
        0.07985            0.0         0.40689355     0.40689355
        0.11985        0.02814         0.53340339     0.56154339
        0.15985        0.09287         0.65539754     0.74826754
        0.19985        0.07441         0.77290298     0.84731298
        0.23985        0.23595          0.8859467      1.1218967
        0.27985        0.44267         0.99455569      1.4372257
        0.31985        0.46961          1.0987569      1.5683669
        0.35985        0.50239          1.1985774      1.7009674
        0.39985        0.49559          1.2940441      1.7896341
        0.43985        0.42536          1.3851841      1.8105441
        0.47985        0.29383          1.4720242      1.7658542
        0.51985         0.3992          1.5545915      1.9537915
        0.55985        0.46977           1.632913       2.102683
        0.59985        0.37266          1.7070157      2.0796757
        0.63985        0.56545          1.7769265      2.3423765
        0.67985        0.77979          1.8426724      2.6224624
        0.71985        0.84925          1.9042805      2.7535305
        0.75985        0.96115          1.9617781      2.9229281
        0.79985        1.08893          2.0151966      3.1041266
        0.83985        1.28172            2.06457        3.34629
        0.87985        1.55985          2.1099321      3.6697821
        0.91985        1.57592          2.1513167      3.7272367
        0.95985        1.83489          2.1887578      4.0236478
        0.99985        2.02209          2.2222892      4.2443792
        1.03985        2.00486          2.2519449      4.2568049
        1.07985        2.00943          2.2777585      4.2871885
        1.11985        1.99355          2.2997641      4.2933141
        1.15985        2.24318          2.3179956      4.5611756
        1.19985        2.44052          2.3324867      4.7730067
        1.23985         2.7671          2.3432713      5.1103713
        1.27985        2.95541          2.3503834      5.3057934
        1.31985        3.09796          2.3538568      5.4518168
        1.35985        3.22719          2.3537254      5.5809154
        1.39985        3.64585          2.3500231      5.9958731
        1.43985        3.80127          2.3427837      6.1440537
        1.47985        4.03341           2.332041       6.365451
        1.51985        4.46905          2.3178296      6.7868796
        1.55985        4.63202          2.3002034      6.9322234
        1.59985        5.01144          2.2792424      7.2906824
        1.63985        5.44124          2.2550282      7.6962682
        1.67985        5.89775          2.2276424      8.1253924
        1.71985        6.32857          2.1971666      8.5257366
        1.75985        6.62863          2.1636826      8.7923126
        1.79985        7.25525          2.1272718      9.3825218
        1.83985        7.85378           2.088016       9.941796
        1.87985        8.31076          2.0459968      10.356757
        1.91985        8.99314          2.0012957      10.994436
        1.95985        9.71659          1.9539945      11.670584
        1.99985       10.23791          1.9041747      12.142085
        2.03985       10.87364           1.851918      12.725558
        2.07985       11.09176          1.7973061      12.889066
        2.11985        11.1788          1.7404205       12.91922
        2.15985       11.29251          1.6813428      12.973853
        2.19985       10.88956          1.6201548      12.509715
        2.23985       10.59853           1.556938      12.155468
        2.27985       10.12701           1.491774      11.618784
        2.31985        9.38796          1.4247446      10.812705
        2.35985        8.91268          1.3559312      10.268611
        2.39985        8.51666          1.2854157      9.8020757
        2.43985        8.08927          1.2132795      9.3025495
        2.47985        7.63917          1.1396043      8.7787743
        2.51985        7.29882          1.0644717      8.3632917
        2.55985        6.77779         0.98796344      7.7657534
        2.59985        6.54016         0.91016105      7.4503211
        2.63985        5.87811          0.8311462      6.7092562
        2.67985        5.36444          0.7510005      6.1154405
        2.71985        5.01321          0.6698056      5.6830156
        2.75985        4.45516         0.58764404       5.042804
        2.79985        3.94095         0.50460003        4.44555
        2.83985        3.61651         0.42075799       4.037268
        2.87985        3.30488          0.3362023      3.6410823
        2.91985        2.95857         0.25101736      3.2095874
        2.95985        2.76724         0.16528758      2.9325276
        2.99985        2.41725         0.07909735      2.4963473
        3.03985        2.25422      -0.0074689307      2.2467511
        3.07985        2.03826       -0.094326863      1.9439331
        3.11985        1.80687        -0.18139205       1.625478
        3.15985        1.63877        -0.26858009      1.3701899
        3.19985        1.46864        -0.35580658      1.1128334
        3.23985        1.17128        -0.44298713     0.72829287
        3.27985        0.96216        -0.53003734     0.43212266
        3.31985        0.80635        -0.61687281     0.18947719
        3.35985        0.68195        -0.70340914   -0.021459144
        3.39985        0.38364        -0.78956194    -0.40592194
        3.43985        0.20967         -0.8752468     -0.6655768
        3.47985        0.06961        -0.96037932    -0.89076932
        3.51985       -0.21032         -1.0448751     -1.2551951
        3.55985       -0.24864         -1.1286498     -1.3772898
        3.59985       -0.34194         -1.2116189     -1.5535589
        3.63985        -0.4965         -1.2936981     -1.7901981
        3.67985       -0.70574          -1.374803      -2.080543
        3.71985       -1.01786         -1.4548491     -2.4727091
        3.75985       -1.11934         -1.5337522     -2.6530922
        3.79985       -1.25785         -1.6114277     -2.8692777
        3.83985       -1.31998         -1.6877912     -3.0077712
        3.87985        -1.2931         -1.7627585     -3.0558585
        3.91985       -1.39204          -1.836245      -3.228285
        3.95985       -1.52715         -1.9081665     -3.4353165
        3.99985       -1.51536         -1.9784384     -3.4937984
        4.03985       -1.67948         -2.0469764     -3.7264564
        4.07985       -1.93664         -2.1136961     -4.0503361
        4.11985        -1.9216          -2.178513      -4.100113
        4.15985       -1.87304         -2.2413429     -4.1143829
        4.19985       -2.07163         -2.3021012     -4.3737312
        4.23985        -2.2311         -2.3607037     -4.5918037
        4.27985       -2.45438         -2.4170658     -4.8714458
        4.31985       -2.46615         -2.4711033     -4.9372533
        4.35985        -2.3717         -2.5227316     -4.8944316
        4.39985       -2.58858         -2.5718664     -5.1604464
        4.43985       -2.70959         -2.6184234     -5.3280134
        4.47985       -2.71766          -2.662318      -5.379978
        4.51985       -2.75789          -2.703466      -5.461356
        4.55985       -2.85974         -2.7417828     -5.6015228
        4.59985        -2.9467         -2.7771842     -5.7238842
        4.63985       -3.08251         -2.8095856     -5.8920956
        4.67985       -3.11916         -2.8389028     -5.9580628
        4.71985       -3.01654         -2.8650513     -5.8815913
        4.75985       -2.97198         -2.8879466     -5.8599266
        4.79985       -2.84768         -2.9075045     -5.7551845
        4.83985       -2.77714         -2.9236406     -5.7007806
        4.87985       -2.87451         -2.9362703     -5.8107803
        4.91985       -2.79892         -2.9453093     -5.7442293
        4.95985       -2.96573         -2.9506733     -5.9164033
        4.99985       -2.91878         -2.9522778     -5.8710578
        5.03985       -2.99733         -2.9500384     -5.9473684
        5.07985       -2.93064         -2.9438708     -5.8745108
        5.11985       -2.88244         -2.9336904     -5.8161304
        5.15985       -3.12397          -2.919413      -6.043383
        5.19985       -3.14152         -2.9009541     -6.0424741
        5.23985        -3.1003         -2.8782294     -5.9785294
        5.27985       -3.06837         -2.8511543     -5.9195243
        5.31985        -3.0891         -2.8196446     -5.9087446
        5.35985       -3.09453         -2.7836159     -5.8781459
        5.39985       -3.13922         -2.7429837     -5.8822037
        5.43985       -3.10421         -2.6976636     -5.8018736
        5.47985       -3.05386         -2.6475712     -5.7014312
        5.51985       -2.98641         -2.5926222     -5.5790322
