#       Npoints             RC            PMF         PMF-sd         PMF+sd             sd
#-----------------------------------------------------------------------------------------
            114       -0.21048        0.38446        0.20511        0.56380        0.17935
            421       -0.17048        0.31244        0.20240        0.42248        0.11004
           1238       -0.13048        0.23638        0.14930        0.32345        0.08707
           2908       -0.09048        0.15164        0.06633        0.23694        0.08531
           5461       -0.05048        0.06256       -0.02466        0.14978        0.08722
           7888       -0.01048        0.00658       -0.07860        0.09175        0.08518
           9154        0.02952       -0.01527       -0.10002        0.06947        0.08475
           9733        0.06952       -0.03579       -0.11751        0.04592        0.08172
           9451        0.10952        0.00000       -0.08113        0.08113        0.08113
           9621        0.14952        0.04572       -0.03517        0.12662        0.08090
           9429        0.18952        0.15783        0.07843        0.23722        0.07939
           9136        0.22952        0.30232        0.22110        0.38353        0.08121
           8913        0.26952        0.44295        0.36103        0.52487        0.08192
           8787        0.30952        0.55794        0.47661        0.63926        0.08132
           8536        0.34952        0.67249        0.59216        0.75283        0.08033
           8684        0.38952        0.75850        0.67845        0.83855        0.08005
           8918        0.42952        0.83856        0.75818        0.91894        0.08038
           8988        0.46952        0.93032        0.85043        1.01022        0.07990
           9443        0.50952        1.00943        0.92922        1.08964        0.08021
           9920        0.54952        1.10093        1.02048        1.18139        0.08046
          10031        0.58952        1.21245        1.13187        1.29303        0.08058
           9855        0.62952        1.33920        1.25915        1.41925        0.08005
           8893        0.66952        1.52487        1.44326        1.60649        0.08162
           9088        0.70952        1.64457        1.56265        1.72650        0.08193
           9171        0.74952        1.78301        1.70204        1.86399        0.08098
           9207        0.78952        1.94381        1.86369        2.02393        0.08012
           9240        0.82952        2.11393        2.03025        2.19761        0.08368
           9227        0.86952        2.28240        2.19900        2.36579        0.08340
           9189        0.90952        2.44819        2.36716        2.52921        0.08102
           8981        0.94952        2.63137        2.54867        2.71408        0.08270
           8857        0.98952        2.81886        2.73563        2.90209        0.08323
           8585        1.02952        3.03344        2.95105        3.11582        0.08238
           8846        1.06952        3.24004        3.15977        3.32031        0.08027
           9450        1.10952        3.44761        3.36478        3.53045        0.08284
           9562        1.14952        3.68985        3.60685        3.77286        0.08301
           9555        1.18952        3.93916        3.85658        4.02174        0.08258
           9479        1.22952        4.20193        4.11886        4.28499        0.08306
           8921        1.26952        4.50548        4.42305        4.58791        0.08243
           8955        1.30952        4.79110        4.70749        4.87471        0.08361
           9071        1.34952        5.10716        5.02355        5.19077        0.08361
           9038        1.38952        5.46110        5.37719        5.54500        0.08390
           8808        1.42952        5.84132        5.75749        5.92516        0.08384
           8910        1.46952        6.22120        6.13884        6.30356        0.08236
           8611        1.50952        6.65592        6.57349        6.73835        0.08243
           8440        1.54952        7.10568        7.02416        7.18720        0.08152
